NeighborhoodTown,TotalEnrolled,TotalDiagnosed,TotalDiagnosedandMedicated,WomenEnrolled,WomenDiagnosed,WomenDiagnosedMedicated,MenEnrolled,MenDiagnosed,MenDiagnosedMedicated
O'Hara Township,3032,256,133,1608,134,59,1424,122,74
O'Hara Township,3048,219,129,1596,94,51,1452,125,78
Fox Chapel Borough,3694,193,119,1867,76,41,1827,117,78
Aspinwall Borough,1563,111,65,896,71,38,667,40,27
Sharpsburg Borough,1959,219,135,1069,128,78,890,91,57
Etna Borough,2028,185,118,1107,92,55,921,93,63
Shaler Township,3861,396,234,2097,202,105,1764,194,129
Shaler Township,2704,295,176,1486,177,105,1218,118,71
Shaler Township,1355,162,96,750,76,40,605,86,56
Shaler Township,3383,340,204,1777,168,101,1606,172,103
Millvale Borough,2033,213,123,1114,107,55,919,106,68
Shaler Township,3615,348,204,1941,170,101,1674,178,103
Shaler Township,3146,312,201,1738,176,119,1408,136,82
Reserve Township,773,100,56,409,40,22,364,60,34
Reserve Township,1390,157,91,733,72,44,657,85,47
Ross Township,1400,158,87,773,87,48,627,71,39
Ross Township,2409,269,128,1275,148,63,1134,121,65
Ross Township,2893,279,155,1587,138,64,1306,141,91
Ross Township,3339,448,247,1849,250,119,1490,198,128
Ross Township,2367,240,116,1281,124,56,1086,116,60
Ross Township,2383,300,169,1323,170,83,1060,130,86
Ross Township,1885,197,116,1060,116,64,825,81,52
Ross Township,1389,178,107,741,89,52,648,89,55
West View Borough,1147,98,68,636,52,34,511,46,34
West View Borough,2656,284,163,1480,159,93,1176,125,70
Bellevue Borough,1758,170,115,980,85,58,778,85,57
Bellevue Borough,1050,83,54,589,43,25,461,40,29
Bellevue Borough,1495,141,81,813,77,48,682,64,33
Avalon Borough,1141,168,80,668,111,52,473,57,28
Avalon Borough,1419,153,98,833,89,51,586,64,47
Ben Avon Borough,1102,79,36,583,46,18,519,33,18
Emsworth Borough,1549,149,104,831,73,48,718,76,56
Ohio Township,3272,228,139,1707,109,57,1565,119,82
Bell Acres Borough,744,63,33,391,32,12,353,31,21
Sewickley Borough,1995,162,87,1117,89,42,878,73,45
Edgeworth Borough,1003,76,36,547,36,15,456,40,21
Leet Township,657,46,27,354,25,13,303,21,14
Leetsdale Borough,627,70,38,360,42,20,267,28,18
Crescent Township,1353,172,110,711,88,54,642,84,56
Coraopolis Borough,1566,196,123,861,108,67,705,88,56
Coraopolis Borough,1408,190,119,784,108,65,624,82,54
Moon Township,1956,173,100,1060,98,47,896,75,53
Moon Township,2028,211,118,1053,98,55,975,113,63
Moon Township,1919,121,75,1012,59,34,907,62,41
Moon Township,1826,190,122,970,99,62,856,91,60
Moon Township,4079,392,244,2155,194,109,1924,198,135
Findlay Township,2317,203,112,1257,107,53,1060,96,59
North Fayette Township,1008,107,77,517,60,37,491,47,40
North Fayette Township,3169,277,173,1719,128,79,1450,149,94
Oakdale Borough,888,118,65,466,57,29,422,61,36
South Fayette Township,1175,78,55,640,36,26,535,42,29
South Fayette Township,2407,204,120,1282,102,57,1125,102,63
South Fayette Township,2593,317,142,1464,189,73,1129,128,69
Bridgeville Borough,733,99,60,416,60,32,317,39,28
Bridgeville Borough,2006,280,157,1120,163,84,886,117,73
Collier Township,4590,508,293,2482,270,132,2108,238,161
Robinson Township,1063,107,63,560,57,32,503,50,31
Robinson Township,3291,297,167,1754,156,81,1537,141,86
Robinson Township,3176,334,186,1678,175,103,1498,159,83
Pennsbury Village,363,29,21,223,17,14,140,12,7
Kennedy Township,2715,332,184,1493,173,81,1222,159,103
Kennedy Township,2087,265,144,1121,142,69,966,123,75
Neville Township,504,74,38,272,38,18,232,36,20
Stowe Township,1576,167,105,870,93,60,706,74,45
Stowe Township,2081,201,133,1163,119,75,918,82,58
McKees Rocks Borough,1492,171,120,836,93,62,656,78,58
Ingram Borough,1778,177,113,973,97,63,805,80,50
McKees Rocks Borough,2063,170,113,1203,103,72,860,67,41
Crafton Borough,1354,164,83,746,104,50,608,60,33
Crafton Borough,1929,189,97,1053,103,53,876,86,44
Carnegie Borough,884,98,55,481,49,25,403,49,30
Carnegie Borough,1104,99,60,615,52,24,489,47,36
Carnegie Borough,1964,213,130,1128,131,69,836,82,61
Green Tree Borough,2782,305,153,1513,158,69,1269,147,84
Scott Township,2264,359,151,1293,203,76,971,156,75
Scott Township,1758,206,97,978,102,46,780,104,51
Scott Township,1434,118,72,795,61,36,639,57,36
Scott Township,1767,215,103,977,118,44,790,97,59
Scott Township,1520,187,117,834,92,54,686,95,63
Heidelberg Borough,574,59,31,311,32,18,263,27,13
Dormont Borough,1246,103,58,698,54,25,548,49,33
Dormont Borough,1128,87,59,585,43,28,543,44,31
Dormont Borough,965,86,46,536,41,18,429,45,28
Dormont Borough,1116,101,60,606,42,21,510,59,39
Mt Lebanon,2791,216,101,1500,116,49,1291,100,52
Mt Lebanon,1831,153,78,1042,84,35,789,69,43
Mt Lebanon,3433,341,145,1907,206,75,1526,135,70
Mt Lebanon,2135,134,71,1113,64,31,1022,70,40
Mt Lebanon,1913,168,80,1025,92,39,888,76,41
